Account,Fund,Dept,PROGRAM,Class,ProjectNumber,Subgrant,ProjectName,Grantee,Vendor ID,DESCRIPTION,ProjectSummary,MasterProject,Theme,GrantStatus,BusinessItem,Grant Amount,Appropriation committed amount,Match amount,Address,City,County,CountilDistrict,Legislative District,DateAwarded,POSC,ExpirationDate,AmendedExpDate,ContractLegal,ContractSent,ContractReceived,ContractExecuted,ExecConstractSent,FederalFY,StateFY,ClaimDueDate,YearAvailReissue,YearFunded,PONumber,FO_ID,FundingOpportunity,ProgramArea
5821,242,09999,000,000,14085,SG2002-104,Little Asia,City of Brooklyn Center,0000026811A1,"Create a mixed-use retail residential development by converting a 1950s strip center (Northbrook) into a destination shopping area with freestanding multi-family and second-floor housing above street-level commercial uses.  The site would be developed with an Asian theme and architecture.  The project site is part of the Brookdale Opportunity Site and will be developed to meet the smart growth objectives for that area.  The specific purpose of the Opportunity Grant Request is to prepare a market study, financial feasibility study, and site plan, including a public review process, to move the project from the concept stage to a project ready to begin implementation.",Retail and multifamily housing,,N/A,Closed,," $	24,000.00 "," $	23,604.17 ",,"Between 57th, Logan and Hwy. 100 - Brooklyn Center",Brooklyn Center,Hennepin,2,40B,7/24/02,,12/31/05,12/31/05,,,,10/9/02,,,,,,2002,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14035,SG1999-029,The Village,City of Brooklyn Park,0000020926A1,"Redesign the city's downtown, to include a mix of uses in a pedestrian- and transit-oriented environment that will serve the needs of people in the immediate neighborhood and throughout the city. This grant will fund half the cost of preparing a development plan for the site, currently occupied by a shopping center with significant vacancies, multiple unit housing and other uses.",Redevelopment plan,,N/A,Closed,," $	75,000.00 "," $	75,000.00 ",,"Brooklyn Blvd, Zane, Regent & 73rd Ave. No. - Brooklyn Park",Brooklyn Park,Hennepin,2,40A,12/1/98,,,,,,,7/1/99,,,,,,1998,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14059,SG2001-098,Strip Center Reuse,City of Burnsville,0000020927A1,"Burnsville has over 40 strip malls and, like many cities, is concerned about the high number of vacancies, large underutilized parking lots, excess commercial land, lack of pedestrian and transit amenities and deteriorated outdated facades.  This project will examine reuse opportunities through land use, market and economic analysis for three strip malls in Burnsville and selection of a test site for reuse implementation.  The project includes research, inventory and analysis of each site to develop a plan for reuse.","Examine reuse opportunities through land use, market and economic analysis for three strip malls",,N/A,Closed,," $	70,000.00 "," $	70,000.00 ",,3 locations throughout the city - Burnsville,Burnsville,Dakota,15,56A,11/1/01,,12/31/02,6/30/05,,,,2/25/02,,,,,,2001,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14820,SG2004-101,Mississippi Crossings Transit-Oriented Development,City of Champlin,0000020929A1,"The Mississippi Crossings Plan was undertaken in the late 1990s with a 23 member Task Force and significant community participation. The redevelopment plan cited three major areas of focus:  The Gateway, the old downtown where Hwy 169 crosses the Mississippi River; The Commons, where W River Rd divides the river and the Mill Pond parks to connect to Hwy 169; and Champlin Plaza, an older center on the edge of the original downtown, which has been completed.  Champlin is moving ahead with the next step ? redevelopment of the Gateway Area. The community goal for this project is to reclaim Champlin?s origins as a riverfront town ? to make the riverfront a public amenity & downtown a place to walk, shop, live and work. The Crossings plan will achieved this goal by: connecting East River Rd. as a new Main Street in downtown, improved with pedestrian amenities; creating the downtown density needed to support transit; using land efficiently by replacing vacant lots, declining multi-family buildings, and underutilized commercial properties with concentrated mixed-use development; locating a mix of housing and commercial uses downtown so residents can walk to work, shops and the riverfront marinas and parks; and improving river water quality with creative solutions to filtering downtown storm water runoff.",Redevelopment plan,,N/A,Closed,," $	60,000.00 "," $	60,000.00 ",,"East River Road at Hwy 169, Champlin",Champlin,Hennepin,2,36A,8/25/04,,12/31/05,,,,,10/16/04,,,,,,2004,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14031,SG1999-049,City Center Redevelopment,City of Circle Pines,0000090072A1,"Create a redevelopment plan to implement goals of creating a community gateway and city center, preserving mixed uses, increasing life-cycle housing options through new housing or rehabilitation, creating a pedestrian-friendly area along Lake Drive, and connecting to the existing trail system. Funding will be used to create a redevelopment plan, involving business owners and residents in the master planning process. The city will develop boulevard and streetscaping standards in conjunction with the I-35W Corridor Coalition, and will work with the Coalition on implementation of other joint goals.  This grant will fund development of a master plan.",Redevelopment plan for community gateway and city center,,N/A,Closed,," $	30,000.00 "," $	30,000.00 ",,Lexington Ave & Lake Drive - Circle Pines,Circle Pines,Anoka,10,38A,12/1/98,,12/31/01,,,,,6/6/00,,,,,,1998,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14084,SG2002-103,39th & Central Avenue Redevelopment Site,City of Columbia Heights,0000020933A3,The City of Columbia Heights will develop a site specific land use strategy for an underutilized and blighted commercial retail strip center site through an economic and market analysis of these properties.  This information will then be used to determine future reuse potential of a commercial center struggling for fiscal stability.  Key objectives include planning for pedestrian friendly concepts consistent with transit-oriented development.,Determine future reuse potential for site,,N/A,Closed,," $	25,000.00 "," $	25,000.00 ",,Northest quadrant of 39th and Central Ave. - Columbia Heights,Columbia Heights,Anoka,2,41B,7/24/02,,12/31/04,12/31/05,,,,9/30/02,,,,,,2002,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14044,SG1999-180,Langdon Square  (fka. East Ravine Community Pre-design),City of Cottage Grove,0000020935A5,"Conduct activities to plan for the redevelopment of the Langdon Square Area, located along Hwy. 61.  Goals included establishing a pedestrian-scale town square area that would include a transit hub, commercial and service uses, lifecycle and senior housing, parking, and employment opportunities at the nearby industrial park.  As work on the project proceeded, Council staff and the city worked together to revise the original project to fit better with community goals.  Funds will be used to contract with consultants to conduct demographic analysis; population, travel and employment projections; market analysis, evaluation of historic structures, concept design and assessment of its viability; and photo-imaging.",Redevelopment plan,,N/A,Closed,," $	150,000.00 "," $	150,000.00 ",,"Hwy 61 corridor and beyond (3,800 acres) - Cottage Grove",Cottage Grove,Washington,12,54A,12/1/99,,,,,,,2/24/03,,,,,,1999,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14027,SG1998-046,Welcome Neighborhood,City of Crystal,0000020937A2,"Redevelop and upgrade the existing housing stock in a two-block area to stabilize the neighborhood while retaining its character. The grant will pay for neighborhood planning discussions, development of plans for residential infill, plans for commercial improvements, and rehabilitation program development.",Redevelopment plan,,N/A,Closed,," $	50,000.00 "," $	50,000.00 ",,"43rd & 44th Ave No., Adair to Zenia - Crystal",Crystal,Hennepin,6,45B,12/1/97,,,,,,,6/21/99,,,,,,1997,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14077,SG2002-096,West Panhandle Redevelopment,City of Crystal,0000020937A2,"Redevelopment of a 40-acre site surrounding the Cub Foods in the southeast quadrant of the intersection of Hwy 100 and 36th Avenue North.   Redevelopment project will preserve and enhance the community by increasing housing choices, optimizing land use efficiency, building transit capacity, enhancing natural systems, and fulfilling the city's goals for infill and reinvestment.  Project takes advantage of the opportunities created by the widening of Hwy 100 and the reconstruction of one of the most dangerous intersections in the state.",Redevelopment plan,,N/A,Closed,," $	60,000.00 "," $	60,000.00 ",,Southeast quadrant of Hwy 100 and 36th Ave. North - Crystal,Crystal,Hennepin,6,45B,7/24/02,,12/31/04,,,,,11/22/02,,,,,,2002,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14060,SG2001-099,Historic Village Revitalization,City of Dayton,0000004474A1,"This is a proposal to commit resources to revitalize the Historic Village of Dayton.  The Village, platted in the 1850s, recently received public utilities.  For many years this area was a focal point in the community, and the desire is to once again bring the Village alive.  Redevelopment of the downtown includes street level storefront businesses and residential above, pedestrian routes to link the community to nature, and lifecycle housing.",Redevelopment plan,,N/A,Closed,," $	44,000.00 "," $	26,964.07 ",,Historic village area at Crow River and Cty Rd. 12 - Dayton -,Dayton,Hennepin,1,34A,11/1/01,,12/31/02,12/31/05,,,,2/25/02,,,,,,2001,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14949,SG2010-136,Grandview Small Area Plan,City of Edina,0000020940A1,"In April 2010, the City of Edina prepared a Small Area Guide Plan Study through the use of a Community Advisory Team (CAT) that included a group of residents, as well as business and property owners. The CAT developed a set of guiding principles for the larger Grandview District to steer future redevelopment and investments in the District. The CAT made a set of recommendations to the City Council regarding the current and future use of the district, including the future use of the Public Works site, which was abandoned by the City in August 2010 when construction on the new Public Works Facility was completed. The CAT reached consensus on a number of issues, including the importance of continued mixed-use development, the future use of the current heavy rail corridor for transit, and the careful incorporation of public green space into any final redevelopment. The CAT also recommended that the current business and commercial mix remain in place as important economic and community benefits for the immediate area. The district is also home to the Edina Public Schools transportation facility for school buses. The long-term goal would be to relocate that facility to free up the current site for redevelopment. There are significant economic challenges for the school district in attaining this goal; an important aspect of any small area plan would be a comprehensive financial and market analysis to assist in determining solutions.",Redevelopment plan,,N/A,Closed,2010-402," $	100,000.00 "," $	100,000.00 ",,Vernon Avenue & TH 100 in Edina,Edina,Hennepin,5,49A,12/8/10,,12/31/12,,11/7/11,11/8/11,12/19/11,2/8/11,12/27/11,,,,,2010,11001046,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14061,SG2001-100,Making New History,City of Excelsior,0000020941A1,"This proposal will develop a vision and groundwork for creating a unique center of livability and workability serving the South Lake Minnetonka Greater Community.  The vision is mixed use design with transit and pedestrian hubs, integration of environmental habitat and residential and commercial land uses, and the combination of multi-jurisdictional services for residents and visitors.",Develop a vision and groundwork for creating a unique center of livability and workability serving the South Lake Minnetonka Greater Community.,,N/A,Closed,," $	70,000.00 "," $	70,000.00 ",,Within 1/4 mile of Water St. downtown Excelsior - Excelsior,Excelsior,Hennepin,3,33B,11/1/01,,12/31/02,,,,,1/31/02,,,,,,2001,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14081,SG2002-100,Spruce Street Development Plan,City of Farmington,0000020943A1,"Farmington is a rapidly growing community at the urban fringe with a great need for more commercial, retail and office space.  The proposal would create a comprehensive, progressive development plan for a currently undeveloped 450-acre site located in close proximity to a rapidly growing suburb's historic downtown, and do so in a way that creates new commercial, residential and mixed-use opportunities that complement rather than conflict with existing businesses and neighborhoods.",Comprehensive development plan,Spruce Street,N/A,Closed,," $	40,000.00 "," $	40,000.00 ",,"Adjacent to city's ""historic"" downtown neighborhoo - Farmington -",Farmington,Dakota,16,58B,7/24/02,,12/31/05,,,,,9/30/02,,,,,,2002,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14062,SG2001-101,Mixed-Use Development and Expansion Historic Downtown,City of Hastings,0000020950A1,"Master plan the redevelopment and expansion of the city's mixed use downtown.  The master plan is necessary to ensure that future downtown redevelopment and expansion is compatible with and enhances the existing historic downtown in terms of urban building design and land use.  The master plan will also address the impact of a potential commuter rail station in the downtown and the sensitive environmental issues related to the Mississippi River and Lake Isabel.  The city will focus on five elements: development patterns, ecological systems, recreational systems, transportation/transit systems, and communications systems.",Master plan the redevelopment and expansion of the city's mixed use downtown.,,N/A,Closed,," $	58,500.00 "," $	53,437.00 ",,Downton area of mixed use area 2nd St. east of Hwy - Hastings,Hastings,Dakota,16,54B,11/1/01,,12/31/02,,,,,1/31/02,,,,,,2001,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14818,SG2004-099,Hilltop Redevelopment Study Area,City of Hilltop,9999999999A1,"The proposed project calls for the creation of a plan that can be used to guide new development, redevelopment, and infrastructure improvements along Central Avenue.  Hilltop is a very small, older, first ring suburb occupied primarily by mobile homes, and 1950s and `60s strip commercial uses. The city is experiencing declining property values right across the street from a significant new redevelopment project in neighboring Columbia Heights. Hilltop and Columbia Heights have been discussing ways that they can mutually improve the image of Central Avenue.  A redevelopment plan that includes design guidelines and implementation strategies to upgrade the Hilltop side of the street will benefit Columbia Heights and their new development, as well as Hilltop.  It is hoped that the planning effort will lead to realistic solutions to declining property values, poor community image, and traffic impacts on adjacent uses, especially residential.","The proposed project calls for the creation of a plan that can be used to guide new development, redevelopment, and infrastructure improvements along Central Avenue.",,N/A,Closed,," $	28,500.00 "," $	23,361.52 ",,Central Ave (west side) between 45th  and 49th Ave - Hilltop,Hilltop,Anoka,2,41B,8/25/04,,12/31/05,,,,,1/17/06,,,,,,2004,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,16019,SG2011-157,Old Stock Lumber,City of Hugo,0000020953A2,"This mixed-use redevelopment project will create a main street experience where shopping, jobs, outdoor public spaces, high density market rate housing and affordable housing will co-exist by design. LCDA funds will be used for soil borings and analysis; developing preliminary stormwater plans, land acquisition strategies and preliminary design plans; completing a site survey and a market study.",Redevelopment plan,,N/A,Closed,2011-347," $	73,000.00 "," $	31,488.00 ",,"Frenchman Road & Forest Boulevard, Hugo",Hugo,Washington,11,38B,12/14/11,,12/31/13,,1/16/12,1/25/12,3/12/12,3/14/12,3/15/12,,,,,2011,12002165,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14821,SG2004-102,Hugo Downtown Redevelopment Plan,City of Hugo,0000020953A2,"Hugo continues to face today's small town challenge - what to do when Main Street becomes a highway.  The City of Hugo has been working with residents, property owners, and business owners to develop a plan for the redevelopment of downtown. The plan will address private redevelopment as well as re-design and reinvestment in public spaces. The master plan will direct:  1. Reconstruction of a pedestrian-friendly downtown; 2.  Design of new lifecycle housing (varying densities, types, and prices) in downtown;  3. Support of existing downtown businesses with complimentary new uses which expand downtown as an employment center and a destination for shopping, entertainment and recreational uses;  4. Connection of the existing Hardwood Creek trail on TH 61 to regional trails, and new trailhead facilities; 5. Transit-oriented development around a downtown stop in Hugo on the future LRT corridor (preserved as the Rushline rail/trail ROW) from St. Paul to Forest Lake; and 6. Implementation of a downtown stormwater management plan, improving the water quality of Egg Lake.",Redevelopment plan,,N/A,Closed,," $	45,000.00 "," $	45,000.00 ",,Hwy 61 and Cty Road 8/14 - Hugo,Hugo,Washington,11,38B,8/25/04,,12/31/05,,,,,12/1/04,,,,,,2004,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14948,SG2010-135,Concord Boulevard,City of Inver Grove Heights,0000020955A1,"The focus of this project is a 3 - 5 acre site in the heart of the Concord Boulevard Neighborhood that has been negatively impacted by major roadways reconstruction in the past three years as well as a long-term pattern of disinvestment. Following significant public investment in the new Heritage Village Park, Mississippi River Regional Trail, Rock Island Swing Bridge, acquisition of blighted properties, environmental investigation and remediation, and infrastructure improvements, the time is right for this project to attract and leverage private investment. The specific site will be identified later this year as part of the City¿s update of the Concord Boulevard Neighborhood Plan and will include frontage on Concord Boulevard between 65th Street and Dawn Way. The City and Dakota County Community Development Agency, at the City's request, have acquired several parcels in this area. Initially settled in the 1880s, the neighborhood has a traditional, pedestrian-oriented development pattern but is challenged by the topography of the Mississippi River bluff. Over the next two years the City will determine market feasibility and identify marketing strategies, develop design guidelines, and select a developer to redevelop a visible anchor site that will signal the start of reinvestment in the area. Over the longer term, the project will leverage the recent major public investments to attract private investment; provide efficient and more intense land uses; reinvigorate an established, mixed use neighborhood; incorporate connections to the Mississippi River and major recreational amenities; increase housing choices; and provide attractive and sustainable residential and business development.",Redevelopment plan,,N/A,Closed,2010-402," $	48,000.00 "," $	41,186.00 ",,N of 70th St to Chestnut to the Mississippi River in Inver Grove Heights,Inver Grove Heights,Dakota,15,52B,12/8/10,,12/31/12,,1/26/11,1/14/11,2/17/11,2/24/11,3/2/11,,,,,2010,11001722,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14806,SG2003-105,Larpenteur at Eustis Street,City of Lauderdale,0000020959A1,"Funds would be used to develop a master plan, including implementation tools and design guidelines for a mixed land-use area of the city in the vicinity of Larpenteur and Eustis Street.",Master plan,,N/A,Closed,," $	20,000.00 "," $	16,750.00 ",,Vicinity of Larpenteur and Eustis Street - Lauderdale,Lauderdale,Ramsey,10,66A,8/27/03,,12/31/04,12/31/05,,,,11/5/03,,,,,,2003,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14025,SG1998-039,The Village - I,City of Lino Lakes,0000020962A2,"Plan and design a mix of neighborhood development uses to physically connect homes, shops, business, recreation, nature and civic life with walkways, streets, privacy and community.  Uses will include public facilities and spaces, diverse commercial and professional development and a mix of housing opportunities. The city will use grant funds to hire experts to: refine the master plan to provide stronger pedestrian interplay in the core commercial area; redesign zoning, code regulation and permitting processes to support new urbanism principles; complete a development framework of urban design guidelines for the Village and other community projects; define a capital improvements program for streetscape, etc.; and design a comprehensive financial program that links public/private funding sources.",Redevelopment plan,The Village,N/A,Closed,," $	220,000.00 "," $	220,000.00 ",,"75 acres, SE quadrant, I-35W & Hwy 23 - Lino Lakes",Lino Lakes,Anoka,11,38A,12/1/97,,,,,,,7/15/98,,,,,,1997,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14076,SG2002-095,Downtown Implementation Plan,City of Long Lake,0000020963A3,"Develop a detailed implementation plan to facilitate and guide public and private redevelopment and reinvestment in downtown Long Lake.  Components of the project include market studies, financial analyses, transit planning, long-term parking study, streetscape master plan, and stormwater management and infrastructure needs.  The city intends to encourage more intensive mixed-use development in its downtown by increasing pedestrian amenities, providing more multifamily housing choices, providing better transit services, improving connections to natural features, and more efficiently using existing infrastructure.",Implementation plan,,N/A,Closed,," $	70,000.00 "," $	70,000.00 ",,Vicinity of Hwy 12 and Brown Road. - Long Lake,Long Lake,Hennepin,3,33A,7/24/02,,12/31/05,12/31/05,,,,10/9/02,,,,,,2002,,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
5821,242,09999,000,000,14946,SG2010-133,Railway Commons,City of Loretto,0000045819A1,"This project will fund professional services to lay the groundwork for successful development implementation and will include conducting design workshops/open houses that would result in professional design alternatives; preparing detailed redevelopment design alternatives that would implement a portion of the 2004 Down Redevelopment Plan; conducting an economic feasibility study to analyze alternatives for market and land use mixes and land banking and acquisition strategies; conducting a geotechnical review of the specific site; conducting a site-specific surface water management study and preparing two preliminary surface water management plan designs based on design alternatives; developing zoning and land use implementation tools, such as PUD Overlay District, Zoning Map amendments, and ordinance amendments; and conducting a commercial real estate appraisal. This groundwork will allow the City to take advantage of the project area's location and continue the long-time redevelopment efforts of the City as laid out in the 1992 Downtown Master Plan and 2004 Downtown Redevelopment Plan. The project would add to an attractive, thriving Main Street, while also addressing improvement of the tax base, business vitality, and employment base of the city; much-needed parking; additional housing;
and an attractive retail and office space.",Development implementation planning,Railway Commons,N/A,Closed,2010-402," $	36,440.00 "," $	26,831.45 ",,W of Cty Rd 19 between St. Peter & W Railway Streets in Loretto,Loretto,Hennepin,1,33A,12/8/10,,12/31/12,,1/26/11,1/18/11,2/17/11,2/25/11,3/2/11,,,,,2010,11002926,01003,LCDA Pre-Development Historical Data,LCDA Pre-Development 
