Account,Fund,Dept,PROGRAMClass,Class,ProjectNumber,Subgrant,ProjectName,Grantee,Vendor ID,DESCRIPTION,ProjectSummary,MasterProject,Theme,GrantStatus,BusinessItem,Grant Amount,Appropriation commited amount,Match amount,Address,City,County,CountilDistrict,Legislative District,DateAwarded,POSC,ExpirationDate,AmendedExpDate,ContractLegal,ContractSent,ContractReceived,ContractExecuted,ExecConstractSent,FederalFY,StateFY,ClaimDueDate,YearAvailReissue,YearFunded,PONumber,FO_ID,FundingOpportunity,ProgramArea
5821,241,09999,000,000,14186,SG2002-073,Bloomington Corporate Center,City of Bloomington,0000026809A5,"Help remove asbestos and hazardous materials from buildings on the former Control Data campus south of the Minneapolis-St. Paul International Airport.  Two low-rise buildings on the site were constructed with asbestos-containing materials that must be removed prior to demolition.  There is also an underground pipe containing asbestos that must be removed.  A third low-rise building will also be demolished.  Demolition of the three buildings will make way for a future higher-density, mixed-use development with housing, office space, a hotel/exhibition hall and two parking ramps.  The Mall of America and planned light-rail transit are nearby.",Mixed-use development,,N/A,Closed,," $	736,000.00 "," $	736,000.00 ",,SW corner of 34th Ave. south and East 80th St. - Bloomington,Bloomington,Hennepin,5,50B,6/26/02,,12/31/04,,,,,10/21/02,,,,,,2002,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14428,SG2006-074,Central Station,City of Bloomington,0000026809A5,"This application from the City of Bloomington requests TBRA funds to assist with cleanup of asbestos and hazardous materials from a building, located at 8100 34th Avenue South, on a 2-acre parcel within the 50-acre  Bloomington Central Station transit oriented development (TOD) project. The TBRA award ($269,000) is to be used for pre-demolition costs of asbestos and lead-based paint abatement. The planned end use is a residential tower of 150 ownership condominium units, of which 28 are to be affordable at 80% AMI ($193,700).  An underground parking structure beyond the foot print of this residential tower will provide parking for residents of the tower and at an adjacent tower to be built in the future.  Annual property taxes at the site are projected to increase by approximately $400,000.",Redevelopment of a hotel & 1.5M SF office,Central Station,N/A,Closed,2006-163," $	269,000.00 ", $	-   ,,8100 34th Avenue South in Bloomington 55425,Bloomington,Hennepin,5,50B,6/28/06,,6/30/08,,,,,8/23/06,,,,,,2006,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14468,SG2007-134,Penn American District,City of Bloomington HRA,0000026809A3,"The applicant is requesting $86,163 in matching TBRA funds to a $232,488 request from DEED and $20,000 from Hennepin County for soil remediation, soil vapor mitigation, and asbestos abatement for the first phase of a two-phase mixed-use residential and commercial redevelopment of a 3.95-acre site formerly used as a auto dealership, repair and washing facility. The contamination of concern identified includes DRO and arsenic in the soil. Isolated detections of PCBs and PCE were also found in the soil. Contamination of concern identified in the ground water includes GRO and benzene and an isolated detection of cis-1,2-DCE. The expected benefits for Phase 1 include 40,000 sq. ft. of retail space, a projected increase of $60,648 in net tax capacity and $15M of private investment.

Funds are to be used for environmental investigation, soil remediation, soil vapor mitigation, asbestos abatement. (Note, demolition costs are not eligible for grant funding.)",Retail,,N/A,Closed,2007-344," $	84,100.00 "," $	35,075.60 ",,"2151 American Blvd West, 8051 Penn Ave S, Bloomington 55431-1310",Bloomington,Hennepin,5,50A,1/9/08,,12/31/09,12/31/10,12/8/09,12/17/09,12/22/09,5/1/08,,,,,,2007,08003652,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14469,SG2007-135,The Corners/Bloomdale,City of Bloomington HRA,0000026809A3,"The applicant is requesting $75,000 in non-matching TBRA funds for asbestos abatement only within 3 buildings totaling approximately 54,841 sq. ft. on a 5.64-acre site that formerly included a gas station and dry cleaner. Additional funding requests were made to DEED ($340,500) and Hennepin County ($55,600) for soil remediation, groundwater monitoring, and soil vapor mitigation. The contamination identified includes DRO GRO, xylene, benzene, ethylbenzene and toluene in the soil. There was also detections of PCE, TCE and 1,2-DCE in the soil vapor. The expected benefits include a mixed-use retail and commercial development that will be built in two phases. Phase one includes 36,728 sq. ft. of commercial/retail space. Phase two includes an additional 10,000 sq. ft. of office space with a projected increase of $138,990 in net tax capacity and $13.8M of private investment.

Funds are to be used for asbestos abatement only. (Note, removal of other hazardous materials is not eligible for grant funding.)",Retail,The Corners/Bloomdale,N/A,Closed,2007-344," $	75,000.00 "," $	75,000.00 ",,"10718, 10724 & 10750 France Ave S;  3901 & 3919 Old Shakopee Rd W, Bloomington",Bloomington,Hennepin,5,50B,1/9/08,,12/31/09,,1/11/08,3/3/08,3/19/08,3/20/08,3/20/08,,,,,2007,08002477,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14490,SG2008-130,The Corners/Bloomdale II,City of Bloomington HRA,0000026809A3,"The applicant is requesting $94,192 in non-matching TBRA funds for additional asbestos abatement within 3 buildings totaling approximately 54,841 sq. ft. on a 5.64-acre site that formerly included a gas station and dry cleaner. Expected benefits include a mixed-use retail and commercial development that will be built in two phases. Phase one includes 36,728 sq. ft. of commercial/retail space in three stand-alone buildings. Phase two includes an additional 10,000 sq. ft. of office space with a projected increase of $80,487 in net tax capacity and $10M of private investment. Previous funding includes $75,000 from TBRA for asbestos abatement and $256,500 from DEED and $55,600 from Hennepin County for soil remediation, groundwater monitoring, and soil vapor mitigation in the fall 2007 application cycle.

The TBRA recommendation is $94,100, the full amount of the TBRA request. Funds are to be used for asbestos abatement. (Removal of other hazardous materials is not eligible for grant funding.)",Commercial,The Corners/Bloomdale,N/A,Closed,2008-264," $	94,100.00 "," $	94,100.00 ",,"10718, 10724 & 10750 France Ave S; 3901 & 3919 Old Shakopee Rd W, Bloomington",Bloomington,Hennepin,5,50B,1/14/09,,12/31/10,,1/15/09,1/23/09,2/3/09,2/10/09,2/11/09,,,,,2008,09001159,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14135,SG1998-135,France Avenue Business Park - I,City of Brooklyn Center,0000026811A1,"Funds awarded in December 1998 were to assist with the local match for a DTED grant to address contamination from the former Joslyn wood pole treating operation. Creosote, pentachlorophenol and copper chromated arsenic were used for 75 years to preserve wood.  No. 2 fuel oil was deployed as a carrier solvent.  Material boiled, dripped, spilled and leaked to enter the soil and groundwater under the site. Joslyn met its clean up obligation to prevent migration of contamination if the site were not used, but additional remediation is necessary to allow redevelopment and new uses of the site, which is a gateway to the city. The site will be combined with three adjacent sites for a 39-acre redevelopment parcel.  A 130,000-sq. ft. regional office outlet and distribution center with space for a 60,000-sq. ft. expansion will be constructed for a Fortune 500 company. ($77,650 of the awarded funds were not expended for this phase of the project and were carried forward to help with supplemental funding requested in 1999).",Office,France Avenue Business Park,N/A,Closed,," $	318,172.00 "," $	318,172.00 ",,"4825-37 France Ave. N, 3900-4010 Lakebreeze Ave., Brooklyn Center",Brooklyn Center,Hennepin,2,40B,12/17/98,,,,,,,1/30/99,,,,,,1998,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,16070,SG2012-014,Lifetime,City of Brooklyn Center EDA,0000026811A2,"$525,000 in TBRA funding for soil remediation (including buried asbestos), ground water monitoring and soil vapor mitigation on a vacant 8.4-acre commercial site that recently included an athletic club. The site is also near a former wood-treating manufacturing facility that has since been cleaned up and redeveloped. The contaminants of concern identified include polynuclear aromatic hydrocarbons (PAHs), diesel-range organics (DRO) and buried asbestos in fill soils as well as DRO in the ground water and volatile organic compounds found in soil vapor samples.","90,00 square foot multi-tenant office warehouse building",Lifetime,N/A,Closed,2012-195," $	525,000.00 "," $	524,983.70 ",,"4001 Lakebreeze Ave, Brooklyn Center",Brooklyn Center,Hennepin,2,40B,6/18/12,,6/30/15,,,,,11/30/12,,,,,,2012,12008846,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14146,SG1999-167,France Avenue Business Park - II,City of Brooklyn Center EDA,0000026811A2,"The site will be combined with three adjacent sites for a 39-acre redevelopment parcel.  A 130,000-sq. ft. regional office outlet and distribution center with space for a 60,000-sq. ft. expansion will be constructed for a Fortune 500 company. ($77,650 of the awarded funds were not expended for this phase of the project and were carried forward to help with supplemental funding requested in 1999).  The second grant (matching a DTED grant), awarded in 1999, was to clean up of eastern 9 acres of the Joslyn site. A 205,600-sq. ft. industrial building with a decorative facade facing Highway 100 is proposed for the redevelopment of this eastern portion of the site. The western portion of the site, cleaned with support from the first grant, is now the location of a Wickes Distribution Center.",,France Avenue Business Park,N/A,Closed,," $	171,563.00 "," $	171,563.00 ",,"4825-37 France Ave. N, 3900-4010 Lakebreeze Ave.- Brooklyn Center",Brooklyn Center,Hennepin,2,40B,12/15/99,,12/31/01,,,,,2/4/00,,,,,,1999,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14168,SG2000-126,Joslyn Manufacturing (fka France Avenue Business Park),City of Brooklyn Center EDA,0000026811A2,"The third and final grant (2000) will assist with removal of asbestos prior to demolishing the Dale Tile building, remediation of soil and groundwater, installation of a cap system and a stormwater retention pond. A 90,000 square foot industrial building along Hwy.100 will be constructed on the reclaimed land.",Industrial,,N/A,Closed,," $	219,232.00 "," $	219,133.26 ",,4825-4837 France Ave. North - Brooklyn Center,Brooklyn Center,Hennepin,2,40B,1/22/01,,12/31/02,12/31/04,,,,2/20/01,,,,,,2000,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14364,SG2003-070,Village North Shopping Center,City of Brooklyn Park,0000020926A1,"The Brooklyn Park Economic Development Authority seeks TBRA funds for asbestos abatement at 7571-7639 Brooklyn Boulevard, the Village North Shopping Center.  The Village North Shopping Center is a 20-acre portion of Village Creek, a 134-acre area located within the heart of Brooklyn Park, and for many years was the primary commercial and residential corridor.  In the mid- to late-1980's, the city noticed a steady decline in this area as a result of the movement of the commercial corridor to the west, changes in shopping/retail trends and the multitude of issues surrounding the multi-family apartment complexes within the immediate area.  
The environmental survey of Village North Shopping Center found asbestos-containing materials in the mastic under carpet and floor tile as well as in the floor tile.  In addition, asbestos was found in transite panels, wall and ceiling texture, the roof flashing material and assumed under replaced roof areas.  Although tested for, lead was not detected in any of the samples. The cleanup of asbestos will turn the site into a developable greenfield to allow for an 80,000-sq./ft. fitness facility, 100,000 sq./ft of office space, 70,000 sq./ft of retail space, 50 urban townhomes and a community park.","Retail and multifamily housing, offices, park",Village Creek,N/A,Closed,," $	257,400.00 "," $	164,248.00 ",,7571-7639 Brooklyn Blvd-Village North Shopping Cen- Brooklyn Park,Brooklyn Park,Hennepin,2,40A,6/25/03,,12/31/04,,,,,10/15/03,,,,,,2003,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14412,SG2006-025,Village Creek - III,City of Brooklyn Park,0000020926A1,"The 15-acre project site is located at the intersection of Brooklyn Blvd. and Zane Avenue. The funds would be used to clean up petroleum contamination in both the soil and groundwater in approximately one third of the site. The release is from a former Amoco gas station that has been cleaned up to commercial standards as required by the PCA. This grant would clean up the site to residential standards so that all of the land is available for the mixed use development. The development on the area proposed to be cleaned up will include 2-story to 4-story mixed use buildings including retail and office on the first and second levels with housing on the second to fourth levels. There will be 171 multi-family units (73 of the units are affordable at 80% AMI - 43% of all the units) There will also be a significant amount of surface parking. Previous Council grants for the larger site include a LCDA Opportunity grant of $75,000 in 1999 (The Village), an LCDA Development Grant of $1,000,000 in 2000 (Shingle Creek Corridor Improvements I), an LCDA Development Grant of $500,000 in 2000 (Shingle Creek Corridor Improvements II), a TBRA grant of  $257,400 in 2003 (Village North Shopping Center), an LCDA Development grant of $346,150 in 2003 (Village Creek I) and a LCDA grant of $1,180,000 in 2004 (the Village Creek II). Metropolitan Council LCA grants to Village Creek total $3,358,550.  Funding is to be used for soil and groundwater remediation, vapor barrier and installation, wrap utility services, enriched concrete at parking entrances and building foundations (to make a better barrier between the buildings and any remaining soil contamination) and construction testing and observation.",multifamily housing,Village Creek,N/A,Closed,2006-002," $	73,900.00 "," $	73,900.00 ",,SE Corner of Zane Avenue N & Brooklyn Boulevard - Brooklyn Park,Brooklyn Park,Hennepin,2,40A,1/25/06,,12/31/07,12/31/09,,,,12/18/07,,,,,,2005,06002065,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14110,SG1996-070,Courtyard Apartments,City of Brooklyn Park EDA,0000020926A1,"Complete a survey and sampling of asbestos.  Develop and implement an asbestos remediation plan prior to demolition of the deteriorated structure located on this site. Once clean up is completed, the site will be redeveloped for business use.",Office,,N/A,Closed,," $	500,000.00 "," $	281,789.48 ",,"6500,04,08,16,20 Zane Ave. North - Brooklyn Park -",Brooklyn Park,Hennepin,2,40A,6/27/96,,,,,,,11/7/96,,,,,,1996,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14180,SG2001-144,Louie's Auto Recyclers - I,City of Champlin,0000020929A1,"Help clean up contaminated soils at the site of an automobile salvage yard. Soil contaminants include diesel range organics, volatile organic compounds, copper and lead.  Benzene exceeded the health risk limit at two wells and nickel at one well. Proposed development will eventually include about 26 businesses and 80 units of multi-family housing, priced at about $150,000.","Multifamily housing, commercial",Louie's Auto Recyclers,N/A,Closed,," $	307,372.00 "," $	307,372.00 ",,"Hwy 169 E. Frontage Rd, 12260 Business Park Blvd - Champlin",Champlin,Hennepin,2,36A,12/19/01,,12/31/04,,,,,2/2/02,,,,,,2001,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14365,SG2003-071,Louie's Auto Recyclers - II,City of Champlin,0000020929A1,"The city of Champlin seeks $229,166 in supplemental TBRA funding to remediate 15 acres of a 64-acre site at 12260 Business Park Boulevard.  In 1948, a portion of the site began to be used as an auto salvage yard.  Louies Auto Recyclers expanded to buy and sell vehicle parts and recycle automobiles.  A second business (Auto Repair By Joe's) also operates on the site.   The site recently had a Phase I and II Environmental Assessment conducted and in 1995 the site was a voluntary participant in an MPCA study of thirteen salvage facilities.  These investigations found contamination consisting of DRO's, GRO's and heavy metals.  During the Fall 2001 TBRA grant cycle, the Council award the applicant $307,302 of TBRA funding for cleanup of the site.  Additional costs are being incurred primarily due to the increase in the volume of contaminated soil projected for clean up.  The original estimated volume of contaminated soil was 9,100 cubic yards.  However in order to meet cleanup goals established by the MPCA, nearly 32,900 cubic yards of soil has been handled.",Commercial,Louie's Auto Recyclers,N/A,Closed,," $	200,000.00 "," $	200,000.00 ",,12260 Business Park Blvd. - Champlin,Champlin,Hennepin,2,36A,6/25/03,,12/31/04,,,,,8/13/03,,,,,,2003,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14444,SG2006-174,Block 6 Redevelopment,City of Chaska,0000020931A2,"The applicant requested $66,473 from TBRA as matching funds to an $850,000 request from DEED for soil remediation of a 1.87-acre site formerly used as a brickyard and currently used as a filling station, auto repair garage and retail garden center. Contamination identified includes DRO, GRO, and arsenic. Funds are to be used for lead-based paint and asbestos abatement, demolition of Randy's Auto building, remediation of 5,000 cubic yards of petroleum-impacted soil and 17,500 cubic yards of arsenic-impacted soil, and for environmental oversight.  Expected benefits include the development of a 22,285 sq. ft. mixed use residential and commercial building adding 93 FTE jobs (13% living wage),  54 rental units (5-6 will be affordable) and 17,000 sq. ft. of retail and service commercial space, with an increase of $71,929 in net tax capacity and $9.9 million of private investment.","Redevelopment of 22,285 square feet of mixed-use commercial and retail and 54 rental housing units, with 5-6 affordable",Block 6 Redevelopment,N/A,Closed,2006-322," $	66,400.00 "," $	66,400.00 ",,Northwest corner of Highway 212 and Chestnut Street - Chaska,Chaska,Carver,4,47B,1/17/07,,12/31/08,12/31/09,,,,,,,,,,2006,07001552,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14454,SG2007-035,Block 6 Redevelopment II,City of Chaska,0000020931A2,"The applicant is requesting $326,645 in TBRA funding for asbestos abatement prior to demolition and both matching and additional funding for soil remediation to a $500,000 request from DEED for soil remediation of a 1.87-acre site formerly used as a brickyard and currently used as a filling station, auto repair garage and retail garden center. Contamination identified includes DRO, GRO, and arsenic. Expected benefits include the development of a 14,500 sq. ft. mixed use residential and commercial building with 40 rental units (8 will be affordable) and 17,000 sq. ft. of retail and service commercial space. Previous funding includes $66,400 from TBRA in the fall 2006 application cycle.","Redevelopment of a 14,500 square foot mixed-use commercial and 40 rental housing units with 8 affordable and an additional 17,000 square foot retail and service commercial space.",Block 6 Redevelopment,N/A,Closed,2007-185," $	326,600.00 "," $	136,357.60 ",,"Northwest corner of Highway 212 and Chestnut Street, Chaska",Chaska,Carver,4,47B,6/27/07,,6/30/09,6/30/10,5/28/09,5/29/09,6/23/09,8/31/07,6/26/09,,,,,2007,07006954,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14141,SG1999-059,Brickyard,City of Chaska EDA,0000020931A2,"Provide a match for a DTED grant to acquire and demolish six dilapidated buildings on this site and excavate, dispose and replace contaminated soil under the site.  Over the years the site was home to a brickyard, a farm implement dealer, a dry cleaner, a filling station and an auto repair facility.  The Chaska Economic Development Authority acquired the site and demolished the buildings before an environmental assessment identified the more significant soil remediation needs that jeopardized the city's ability to make the site available for redevelopment.  Once clean, the site will be redeveloped as a 14,000 square foot Walgreen's Drug Store.","Redevelopment of a 14,000 square foot retail space",Brickyard,N/A,Closed,," $	77,909.00 "," $	77,909.00 ",,NE corner Hwy. 41 and 212 - Chaska,Chaska,Carver,4,47B,6/23/99,,12/31/00,,,,,8/11/99,,,,,,1999,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14375,SG2003-131,Columbia Heights Industrial Park I,City of Columbia Heights,0000020933A3,"Begin the redevelopment of a multiphase project to provide residential and office space in a struggling industrial area.  This TBRA award will be used as a match to DEED.  The decreased amount reflects asbestos abatement expenses that are eligible under DEED guidelines because the asbestos containing building needs to be demolished to access soil contaminated by petroleum products, foundry waste and chlorinated solvents.",,Columbia Heights Industrial Park,N/A,Closed,," $	231,731.00 "," $	231,731.00 ",,37th Ave at Kathy Lane - Columbia Heights,Columbia Heights,Anoka,2,41B,12/17/03,,12/31/05,,,,,4/13/04,,,,,,2003,,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
5821,241,09999,000,000,14392,SG2005-026,Columbia Heights Industrial Park - II,City of Columbia Heights,0000020933A3,"Columbia Heights Industrial Park, submitted by the city of Columbia Heights, is a TBRA request as part of the match required for a DEED grant request. The city seeks funding for the second phase (3800 5th Street) of its industrial park redevelopment. The city was awarded funding  from the TBRA and DEED for the first phase in the fall 2003 grant cycle. This phase proposes to be redeveloped into 124 affordable and market rate townhomes. Soil and groundwater contaminants of concern in phase 2 include linseed oil, petroleum, foundry waste (primarily metals) and chlorinated solvents. In addition, asbestos containing materials are present in buildings that need to be demolished. TBRA funds will be used for asbestos abatement and to remediate contaminated soil.",,Columbia Heights Industrial Park,N/A,Closed,," $	288,892.00 "," $	287,611.17 ",,3800 5th Street Northeast. - Columbia Heights,Columbia Heights,Anoka,2,41B,1/12/05,,6/30/07,6/30/08,,,,4/4/05,,,,,,2004,_______-10,01006,TBRA Cleanup Historical Data,TBRA Cleanup 
