Account,Fund,Dept,PROGRAM,Class,ProjectNumber,Subgrant,ProjectName,Grantee,Vendor ID,DESCRIPTION,ProjectSummary,Master Project,Theme,GrantStatus,BusinessItem,Grant Amount,Appropriation committed amount,Match amount,Address,City,County,CountilDistrict,Legislative District,DateAwarded,POSC,ExpirationDate,AmendedExpDate,ContractLegal,ContractSent,ContractReceived,ContractExecuted,ExecConstractSent,FederalFY,StateFY,ClaimDueDate,YearAvailReissue,YearFunded,PONumber,FO_ID,FundingOpportunity,ProgramArea
5821,242,09999,000,000,14039A,SG1999-175a,Heart of the City - I,City of Burnsville,0000020927A1,"The city plans to redevelop a low-density 40-acre site, establishing a compact town center development pattern with mixed uses in a walkable environment. Funds will be used to construct streets and a community plaza, and remove an old gas station to convert the site to a community gateway.","Multifamily housing, retail, civic",Heart of the City,N/A,Closed,," $	1,612,317.00 "," $	1,612,317.00 ",,"6 blocks adjoining Nicollet Ave, south of Hwy 13 - Burnsville",Burnsville,Dakota,15,56B,12/1/99,,12/31/01,12/31/03,,,,3/2/00,,,,,,1999,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14039B,SG1999-175b,Heart of the City - II,City of Burnsville,0000020927A1,"Phase two of a project to create a mixed-use activity center and new downtown in an underutilized area. Nicollet Commons, a 1.5-acre park framed by three-story mixed-use buildings, will serve as a focus for civic and cultural activities. An arts/cultural facility, adjacent to the park, will offer opportunities for indoor and outdoor arts and cultural events. Housing will include rental apartments, owner-occupied condos, townhouses and senior housing with live/work units permitted. Housing will include affordable rental property and owner-occupied housing. Funding will be used to acquire property for Nicollet Commons Park and an arts/cultural facility, relocate businesses and demolish buildings, and design, grade and construct the Park.",Multifamily housing  retail,Heart of the City,N/A,Closed,," $	2,500,000.00 "," $	2,500,000.00 ",,"6 blocks adjoining Nicollet Ave, south of Hwy 13 - Burnsville",Burnsville,Dakota,15,56B,12/1/99,,12/31/03,12/31/03,,,,3/2/00,,,,,,2000,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14868,SG2008-119,Redevelopment of Block 8,City of Centerville,0000020928A2,"The project includes construction of 15,000 square feet of retail space and 48 senior condominiums on a one-acre redevelopment site of 1920s-era housing and a mixed use building in the original Centerville Plat, that has limited street/curb/gutter service. By signed agreement with the City, the Beard Group will develop this underutilized project site and will assemble the site, raze all structures (three single-family homes, two structures with four multi-family housing units each and a mixed use building with 1,200 square feet of retail and two apartment units) and install public infrastructure. This redevelopment will create a prototype for the redevelopment of the entire downtown, facilitate investment in the redevelopment in downtown Centerville, intensify land use density of the project site from 13 housing units per acre to 48 units housing per acre, initiate the redevelopment of the 9-block original Centerville Plat downtown area, stabilize surrounding neighborhoods, and create new housing within one-half mile of a Metro Transit park and ride facility. The redevelopment project site meets the definition of a redevelopment district (M.S. 469.174 subdivision 10). Grant funding is requested for land acquisition elements not funded by the maximum use of tax increment financing generated by the proposed redevelopment.","15,000 square feet of retail space and 48 senior condominiums",,N/A,Closed,2008-270," $	763,100.00 ", $	-   ,,"South of Main Street, E of Gioffon Rd, N of Sorel and W of Centerville Rd, Centerville",Centerville,Anoka,11,38A,12/10/08,,12/31/10,,12/15/08,1/9/09,1/23/09,1/23/09,1/26/09,,,,,2008,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14014,SG1997-053,Villages on the Ponds,City of Chanhassen,0000020930A2,"Redevelop 300+ housing units, commercial and office uses, relocate a church and school, and add recreation space with a transit facility at its core. This grant will pay for a portion of sidewalks, small pedestrian plazas and connections, lighting, boulevard plantings and a boardwalk across the village pond.",Multifamily housing,,N/A,Closed,," $	500,500.00 "," $	500,500.00 ",,"SE quadrant, Hwy 5 and Hwy 101 - Chanhassen - Chanhassen",Chanhassen,Carver,3,47B,12/1/96,,,,,,,5/29/97,,,,,,1996,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14024,SG1998-041,Brickyard Redevelopment,City of Chaska,0000020931A2,"Develop Phase I to include 64 new apartments, 30 new townhouse units, and 8,000 square feet of retail. Phase II will complete all public improvements and infrastructure, including sidewalks and pedestrian spaces, increased street parking, landscaping, bicycle racks, benches, lighting, and a new bus shelter. Phase III includes plans to develop an 18,000 sq.ft. building with commercial and residential.  Phase IV anticipates the remodeling of existing businesses to complement new developments. This grant will assist in funding street improvements, landscaping, demolition and the creation of a public feature such as a plaza.","Redevelopment of 64 indeterminate rental housing units, 30 new townhomes and 8,000 square feet of retail",Brickyard,N/A,Closed,," $	344,100.00 "," $	344,100.00 ",,Walnut St. between Hwy 212 and 41 - Chaska,Chaska,Carver,4,47B,12/1/97,,,,,,,8/15/98,,,,,,1997,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14074,SG2001-126,Clover Ridge,City of Chaska,0000020931A2,"Develop a compact, mixed-use pedestrian and transit-oriented residential neighborhood on a 255-acre site at the western edge of Jonathan.  Add approximately 1000 housing units, of which a minimum 30 percent will be affordable (130 units at 50-80 percent of median income and 198 units at 80-100 percent of median income).  Cluster housing around a neighborhood center that contains an elementary school, community park, neighborhood retail center and civic center.  This neighborhood core will serve as a trailhead for the Chaska-Victoria regional trail that will run through the neighborhood.   Funding will pay for a community building and public amenities.","Development of a compact, mixed-use residential neighborhood with approximately 1,000 housing units (approximately 30% affordable)",Clover Ridge,N/A,Closed,," $	750,000.00 "," $	750,000.00 ",,West of Hundertmark Road and Victoria Drive - Chaska,Chaska,Carver,4,47B,12/1/01,,12/31/04,,,,,1/17/02,,,,,,2001,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14831,SG2006-039,Sinclair fka Clover Field Marketplace),City of Chaska,0000020931A2,"This project is to complete the Clover Ridge development area (a compact, mixed-use, pedestrian and transit-oriented residential neighborhood).  The project is the construction of the Neighborhood Center Mixed-Use Building, public plaza, park and streetscape that make up the northeast corner of the neighborhood core area.  The Sinclair will incorporate 10,000-15,000 square feet of commercial space, beneath 117 permanently affordable rental housing units.  The project will help the city achieve its objective of creating an identifiable neighborhood center.  Aside from the accessory units, this project will introduce the missing rental housing element into the neighborhood.  Funds will be used for construction of a 185-stall underground parking structure, urban plaza improvements, streetscape improvements in front of commercial space, and a 3.47-acre neighborhood park/playground.",Retail and multifamily housing,Clover Ridge,N/A,Closed,," $	965,000.00 "," $	965,000.00 ",,"Northeast corner, Hundertmark and Clover Ridge Drive - Chaska",Chaska,Carver,4,47B,1/25/06,,12/31/07,12/31/08,,,,3/7/06,,,,,,2005,06001946,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14030,SG1999-047,Community Revitalization,City of Columbia Heights,0000020933A3,"Redevelop a block between commercial and single-family uses to include 26 for-sale townhouses ranging in price from $108,000 - $140,000 (12 affordable at $120,000 or less), 18 tax credit rental townhouses for incomes at $30,400 (50 percent of median) or less, 70 senior rental apartments and a potential transit hub.  The larger project area goal is the revitalization of downtown Columbia Heights, to be implemented through a master plan.  Grant funding awarded to assist with preparation of a downtown master plan, the tax credit rental housing and the senior assisted living project.",Multifamily housing,,N/A,Closed,," $	575,000.00 "," $	575,000.00 ",,Central Ave between 37th and 42nd Ave. north - Columbia Heights,Columbia Heights,Anoka,2,41B,12/1/98,,12/31/02,,,,,11/16/00,,,,,,1998,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14846,SG2006-166,Grand Central Lofts,City of Columbia Heights,0000020933A3,"Amended description:  LCDA funds are requested for the second phase of the 15-acre redevelopment of the vacant K-Mart site located at the intersection of 47th Avenue N. E. and Central Avenue in Columbia Heights.  The second phase, expected to begin in 2009, includes construction of 35,000 square feet of new retail, office and restaurant space in two buildings.  LCDA funds are designated for construction of a two-story 180-stall parking ramp, which is privately owned but for which public access is guaranteed through an easement contract.  

Original description:
LCDA funds are requested for the second phase of the 15-acre redevelopment of the vacant K-Mart site located at the intersection of 47th Avenue N. E. and Central Avenue in Columbia Heights.  The second phase, expected to begin in 2007, includes construction of 47,698 square feet of new retail, office and restaurant space in two buildings.  The largest building includes space for a restaurant, dry cleaner and coffee shop on the first floor and office space on the second.  The second building will house two tenants: a grocery store and a caterer.  LCDA funds are designated for construction of a publicly owned, two-story (230 space) parking ramp.  The estimated total cost of the ramp is $2.9 million.  The city is funding 50 percent of the cost, 17 percent will be paid by the developer, and LCDA funds will fund the remainder?about 33 percent of the total.",,,N/A,Closed,2006-320," $	760,008.00 ", $	-   ,,"49th & Central Ave, Hilltop, Columbia Heights",Columbia Heights,Anoka,2,41B,12/13/06,,12/31/08,12/31/10,11/10/09,12/10/09,12/17/09,2/9/07,,,,,,2006,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14837,SG2006-045,Huset Parkway,City of Columbia Heights,0000020933A3,"The City of Columbia Heights is redeveloping a very blighted 30-acre industrial area.  The entire area will be completely razed and cleaned of contamination, and in its place there will be 548 new for-sale homes constructed along with approximately 12,000 square feet of commercial space. Construction will occur in three phases beginning in 2005 and ending in 2010. This redevelopment site is adjacent to the City's 30-acre Huset Park. Important components of this redevelopment project are the parkway and pond improvements.  These components will integrate and connect the new homes to Huset Park, as well as act as an amenity to help maintain and preserve the $125,000,000 of new residential and commercial market value.  Funds will be used for public parkway and supporting infrastructure.  Grant funds will be used for walking trails, sidewalks, landscaping and pedestrian lighting.",,,N/A,Closed,," $	580,147.00 "," $	580,147.00 ",,37th Ave to 39th Ave 5th St. to Jefferson St. - Columbia Heights,Columbia Heights,Anoka,2,41B,1/25/06,,12/31/07,,,,,3/3/06,,,,,,2005,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14029,SG1999-025,"Northwest Metro Four Cities Housing Resource Center - Crystal, designated city to administer funds",City of Crystal,0000020937A2,"Enhance Housing Resource Center services and improve transit access for residents by giving priority to housing rehabilitation and new construction projects adjacent to transit corridors and in targeted neighborhoods with proximity to transit.  Housing programs include a rehabilitation incentive program, a gap/purchase rehabilitation program, and a demonstration program for acquiring blighted properties for demolition and new construction. This grant will fund portions of a rehabilitation incentive program, a purchase and rehabilitation program, a demolition and new construction program, production and distribution of a housing planbook, and program and transit marketing.",Multifamily housing,,N/A,Closed,," $	492,000.00 "," $	492,000.00 ",,"Crystal, Brooklyn Center, New Hope, Robbinsdale - Crysta",Crystal,Hennepin,6,45A,12/1/98,,11/12/99,,,,,5/27/99,,,,,,1998,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14089,SG2002-155,Falcon Heights Town Square,City of Falcon Heights,0000020942A1,"The primary goal of this community-driven project is to provide a new transit-oriented, pedestrian friendly, mixed-use development while replacing a deteriorating shopping center.  Town Square elements include: 120 units of multifamily housing with underground parking; 56 units of senior rental housing with underground parking; 17 owner-occupied townhomes; 10,000 sq. ft. of street level retail space within the multifamily building; and new amenities: public gateway, streetscape improvements, retention pond, green space, transit shelter, linkage to a neighborhood park.",Multifamily housing  retail,Falcon Heights Town Center,N/A,Closed,," $	1,000,000.00 "," $	1,000,000.00 ",,Southeast quadrant of N. Snelling & Latpenteur  - Falcon Heights,Falcon Heights,Ramsey,10,66A,11/13/02,,12/31/04,,,,,2/14/03,,,,,,2002,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14815,SG2003-159,Spruce Street Bridge Project,City of Farmington,0000020943A1,"Transportation corridor development that will link Farmington downtown with new commercial/retail and housing zone.  Proposes to use funding for corridor infrastructure to facilitate new development and hopefully create up to 250 new jobs and 1,942 housing units (at 14 units/acre).  Project includes a new road and trail connection between the old and new business districts.  Funds will be used for new bridge and extension of Spruce Street.",Multifamily housing,Spruce Street,N/A,Closed,," $	955,000.00 "," $	955,000.00 ",,"West of Denmark Ave, South of 212th St. W. - Farmington",Farmington,Dakota,16,58B,12/17/03,,12/31/06,6/30/07,,,,4/29/04,,,,,,2003,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14855,SG2007-119,TrailSide Senior Living (fka Washington County Senior Housing/Headwaters),City of Forest Lake,0000020944A1,"The proposed project will connect new development with existing and future transportation services, and increase the mix of housing affordability within the proposed Walker Methodist Senior Living Campus, part of the 620 acre mixed use Headwaters Planned Unit Development (PUD) in the City of Forest Lake. The City and the HRA intend to construct a 60 unit affordable senior housing facility within the Walker Campus so that low and moderate-income households have access to existing and proposed local and regional transit, government, senior, and commercial services in a pedestrian environment. The Walker Methodist Senior Campus is planned to include a continuum of senior housing options including a skilled care facility, a market rate independent and assisted living facility (176 units), a senior cooperative (74 units), underground tunnels and a senior community center. Residents of the proposed affordable senior housing building will have access to all of the Walker services. The project will be an important component of the larger Headwaters PUD that has been designed to provide ample pedestrian connections, a mix of uses, and seamless integration with the natural environment. The PUD includes a variety of housing (1,840 units), a mix of office and retail uses, a county service center and library, a transit station, several parks, and a large community recreational facility. Walking paths and trails will give residents access to the nearby county library, transit station, and retail areas.",60 unit affordable senior housing facility,Headwaters,N/A,Closed,2007-342," $	700,000.00 "," $	700,000.00 ",,"Deponti 2nd addition (S 1.2 sec. 20, T. 032N R. 21W), outlot F. Forest Rd, W of US Hwy 61, E of Fenway Ave and S of Cty Rd 50",Forest Lake,Washington,12,39A,12/12/07,,12/31/09,12/31/11,11/10/09,12/9/09,12/17/09,3/17/08,12/18/09,,,,,2007,08002480,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14866,SG2008-117,Forest Oak Apartments,City of Forest Lake,0000020944A1,"Forest Oak Apartments is planned to include 36 units of apartment housing for low- to moderate-income households within the 620-acre mixed use Headwaters Planned Unit Development. Two- and three-bedroom apartments will be affordable to citizens earning 60 percent of area median income, and will meet the demand in the area for workforce family housing.  Located in one three-story V-shaped elevator building, Forest Oak Apartments will include underground parking, a children's playground, in-unit washers/dryers, a community room, and be constructed using brick and hardy board siding. The Headwaters PUD includes a variety of housing options, office and retail uses, a county service center and library, a transit station, multiple parks, and a large community recreation facility. Walking paths and trail will give residents access to all of the commercial, service and recreational uses within the Headwaters development.",36 rental units  for low- to moderate-income households,Headwaters,N/A,Closed,2008-270," $	500,000.00 "," $	500,000.00 ",,"Forest Road N & Headwaters Parkway, Forest Lake",Forest Lake,Washington,12,39A,12/10/08,,12/31/10,12/31/11,8/23/10,10/8/10,11/22/10,1/23/09,12/3/10,,,,,2008,09000913,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14018,SG1998-042,Valley Square Redevelopment Area B,City of Golden Valley,0000020947A1,"Redevelop a 29-acre area to include affordable housing, commercial retail, office space, public uses/spaces, and shared structured parking. This grant will assist in developing shared structured parking, pedestrian connections; ponding/water retention as a public amenity; live-work townhouse development; zoning code review to allow innovative housing; building code analysis and design guidelines; and a live-work market study.","Multifamily housing, retail, office",,N/A,Closed,," $	510,000.00 "," $	510,000.00 ",,Hwy 55 between Winnetka and Wisconsin Aves - Golden Valley,Golden Valley,Hennepin,6,46A,12/1/97,,,,,,,9/6/00,,,,,,1997,,01002,LCDA Development Historical Data,LCDA Development 
5821,242,09999,000,000,14054,SG2000-133,Guardian Angels Redevelopment,City of Hastings,0000020950A1,"Preserve and reuse a church, rectory and three-story school building for affordable housing, a day care, community center and domestic abuse shelter. Build ten rental townhomes on the one-block site. Twenty-six of 30 total units on the block will be affordable at 50 percent of median income.  Grant funds will be used to assist with renovation of the church for a daycare/preschool and community center for arts and youth, street repair and utility costs.",Multifamily housing  and services,Guardian Angels,N/A,Closed,," $	500,000.00 "," $	500,000.00 ",,4th at Sibley Streets - Hastings,Hastings,Dakota,16,54B,12/1/00,,12/31/03,,,,,10/11/01,,,,,,2000,,01002,LCDA Development Historical Data,LCDA Development 
